343.689	-33	1	9788308037607			Dobry adres			http://www.ceneo.pl/1268324
343.749	-33	1	9788308036372			Ksiazka SLOWNIK WYR.PULAPEK J.ANG			http://www.ceneo.pl/10696602
357.892	-33	1	9788308033586			Najnowsza historia swiata t.3			http://www.ceneo.pl/40550563
359.485	-33	1	9788308033883			Jak zwykle wszystko jest wina Amora			http://www.ceneo.pl/40550547
361.337	-33	1	9788308035771			Jezyk niemiecki czasowniki zwroty frazeologiczne			http://www.ceneo.pl/1565144
373.590	-2.	1	9788324019465			Najnowsze przygody Mikolajka			http://www.ceneo.pl/40549940
376.452	-13	1	9788372123176			Enc.polski 2000			http://www.ceneo.pl/10535603
397.258	-13	1	9788372124371			Ksiazka Rzeczpospolita szlachecka			http://www.ceneo.pl/1553614
405.579	3.3	3	9788308054895			Opetani			http://www.ceneo.pl/40550192
407.782	-26	3	9788324161140			Ksiazka Jesli zostaniesz / Jesli odejdziesz / Zani			http://www.ceneo.pl/47745583
464.000	-19	2	9788308037560			Ksiazka Sto wierszy, sto pociech /pol			http://www.ceneo.pl/13317151
474.587	-45	2	9788498381498			El Principito			http://www.ceneo.pl/13090339
